lat,lng,State,country,city_ascii
-27.97,26.73,,South Africa,Welkom
-27.8695,-54.46,,Brazil,Santa Rosa
-27.8096,-50.31,,Brazil,Lajes
-27.7833,-64.2667,,Argentina,Santiago del Estero
-27.76,30.79,,South Africa,Vryheid
-27.6662,114.1667,,Australia,Kalbarri
-27.66,27.21,,South Africa,Kroonstad
-27.6496,-67.0333,,Argentina,Belen
-27.6496,25.59,,South Africa,Bloemhof
-27.63,-52.27,,Brazil,Erechim
-27.5833,-60.7167,,Argentina,Villa Angela
-27.58,-48.52,,Brazil,Florianopolis
-27.5661,32.0833,,South Africa,Ubombo
-27.5645,151.9555,,Australia,Toowoomba
-27.49,-58.81,,Argentina,Corrientes
-27.48,-70.28,,Chile,Tierra Amarilla
-27.46,-58.99,,Argentina,Resistencia
-27.455,153.0351,,Australia,Brisbane
-27.4496,23.42,,South Africa,Kuruman
-27.36,-70.34,,Chile,Copiapo
-27.3596,29.89,,South Africa,Volksrust
-27.3578,-55.8851,,Argentina,Posadas
-27.3472,-55.8739,,Paraguay,Encarnacion
-27.2962,31.9,,Swaziland,Lavumisa
-27.23,-52.03,,Brazil,Concordia
-27.2163,-61.2,,Argentina,Charata
-27.1939,151.2657,,Australia,Dalby
-27.17,-56.25,,Paraguay,Coronel Jose Felix Bogado
-27.17,-51.5,,Brazil,Joacaba
-27.13,-48.93,,Brazil,Brusque
-27.1122,31.1983,,Swaziland,Nhlangano
-27.1,-52.64,,Brazil,Chapeco
-27.083,152.95,,Australia,Caboolture
-27.0795,-55.75,,Paraguay,Hohenau
-27.0787,153.1509,,Australia,Bongaree
-27.0696,-70.83,,Chile,Caldera
-27,31.4167,,Swaziland,Hlatikulu
-26.96,24.73,,South Africa,Vryburg
-26.9395,29.24,,South Africa,Standerton
-26.92,-49.09,,Brazil,Blumenau
-26.8996,-48.68,,Brazil,Itajai
-26.88,26.62,,South Africa,Klerksdorp
-26.8695,-58.3,,Paraguay,Pilar
-26.816,-65.2166,,Argentina,San Miguel de Tucuman
-26.8,153.1333,,Australia,Caloundra
-26.79,-60.45,,Argentina,Presidencia Roque Saenz Pena
-26.77,-51.02,,Brazil,Cacador
-26.6996,27.1,,South Africa,Potchefstroom
-26.68,-57.15,,Paraguay,San Juan Bautista
-26.6496,27.96,,South Africa,Vereeniging
-26.648,15.1594,,Namibia,Luderitz
-26.6166,144.25,,Australia,Quilpie
-26.6,118.4833,,Australia,Meekatharra
-26.5739,18.13,,Namibia,Keetmanshoop
-26.5594,148.7907,,Australia,Roma
-26.539,151.8406,,Australia,Kingaroy
-26.5166,-61.1666,,Argentina,Pampa del Infierno
-26.4995,17.15,,Namibia,Bethanie
-26.495,31.388,,Swaziland,Manzini
-26.48,-52,,Brazil,Palmas
-26.48,-49.1,,Brazil,Jaragua do Sul
-26.4696,29.45,,South Africa,Bethal
-26.4667,31.2,,Swaziland,Lobamba
-26.455,31.952,,Swaziland,Siteki
-26.4,146.25,,Australia,Charleville
-26.3696,-70.05,,Chile,Diego de Almagro
-26.32,-48.8399,,Brazil,Joinvile
-26.3167,31.1333,,Swaziland,Mbabane
-26.2696,28.43,,South Africa,Springs
-26.2396,-51.08,,Brazil,Porto Uniao
-26.2396,-48.6,,Brazil,Sao Francisco do Sul
-26.2167,-65.2833,,Argentina,Trancas
-26.2,-56.38,,Paraguay,Caazapa
-26.2,-54.6,,Argentina,Eldorado
-26.1886,152.6709,,Australia,Gympie
-26.18,-50.4,,Brazil,Canoinhas
-26.1728,-58.1828,,Argentina,Formosa
-26.17,28.03,,South Africa,Johannesburg
-26.1496,28.3299,,South Africa,Benoni
-26.1,-49.79,,Brazil,Rio Negro
-26.0829,-65.9666,,Argentina,Cafayate
-26.0296,-55.94,,Paraguay,Abai
